Unnamed: 0,RegionName,State,Date,Price,Housing Inventory,UnemploymentRate,cases,deaths,cases_rate,death_rate,fully_vaccinated,fully_vaccinated_rate,inventory_price_increased,inventory_price_decreased,median_days_on_market,Population,Area,GDP,GDP_pp,Population_Density,Violent_Crimes,Violent_Crimes_pp,Property_Crime,Property_Crimes_pp,Revenue_pp,Expenditures_pp,Hospital,Hospital_pp,School,School_pp,Public_School,Public_School_pp,Private_School,Private_School_pp
294,San Bernardino County,CA,2020-07,370518,3453,12.7,20501.0,373.0,0.0092455211017598,0.0001682151783306,0,0.0,332,804,51,2194710,"20,062","78,146,465",35.60673848,103.6,"8,281",4.0,"54,778",26.4,29477,27905,32,1.46e-05,740,0.000337174,587,0.000267461,153,6.97e-05
295,Santa Clara County,CA,2020-07,1248465,1628,9.3,7042.0,45.0,0.0035790067519319,2.2870676489198694e-05,0,0.0,48,576,33,1885508,"1,291","282,946,368",150.0637324,"1,427.30","4,676",2.5,"43,084",23.4,39774,38937,17,9.02e-06,631,0.000334658,426,0.000225934,205,0.000108724
296,Alameda County,CA,2020-07,900945,1491,12.0,6582.0,57.0,0.003904178574352,3.381011527469829e-05,1,5.9315991709997e-07,48,376,28,1648556,738,119117078,72.25540291,2109.8,10356,6.6,57620,37.0,27341,26306,27,1.64e-05,562,0.000340904,401,0.000243243,161,9.77e-05
297,Sacramento County,CA,2020-07,402577,1491,12.1,8416.0,88.0,0.0053674325164623,5.612334380331319e-05,0,0.0,152,532,30,1588921,966,"77,961,074",49.06541861,"1,503.00","7,452",5.1,"40,246",27.8,33750,33214,19,1.2e-05,511,0.000321602,398,0.000250484,113,7.11e-05
298,Contra Costa County,CA,2020-07,701009,1303,11.9,6373.0,57.0,0.0054934966757147,4.913373772410803e-05,0,0.0,60,368,31,1161413,720,"71,878,033",61.88843504,"1,496.00","3,650",3.4,"32,232",29.8,38948,37226,12,1.03e-05,394,0.000339242,289,0.000248835,105,9.04e-05
299,Fresno County,CA,2020-07,279873,859,13.0,11933.0,114.0,0.0115604416470408,0.0001104408235785,0,0.0,60,240,41,1013581,"5,963","39,921,581",39.38667063,159.2,"4,547",4.8,"32,535",34.3,26135,25200,15,1.48e-05,421,0.000415359,367,0.000362083,54,5.33e-05
300,Kern County,CA,2020-07,242293,1432,15.2,15431.0,123.0,0.0166416644468434,0.000132650166999,0,0.0,64,292,38,917673,"8,142","46,781,960",50.97889989,105.5,"4,465",5.2,"28,283",33.0,34507,33308,15,1.63e-05,329,0.000358516,276,0.000300761,53,5.78e-05
301,Ventura County,CA,2020-07,629911,1150,11.2,4377.0,36.0,0.005132823686275,4.221650735798544e-05,0,0.0,56,308,45,839784,"1,846","46,470,387",55.33611857,453.5,"1,890",2.3,"16,812",20.1,30789,30258,13,1.55e-05,310,0.000369143,226,0.000269117,84,0.000100026
302,San Francisco County,CA,2020-07,1426198,1263,11.0,3288.0,18.0,0.0036849419464742,2.0173039852960956e-05,0,0.0,24,396,30,815201,47,"155,258,114",190.4537826,"17,680.10","6,822",8.2,"45,936",55.4,32198,34059,18,2.21e-05,242,0.000296859,134,0.000164377,108,0.000132483
303,San Mateo County,CA,2020-07,1405621,812,9.4,2847.0,11.0,0.0036593783298479,1.4138799307455902e-05,0,0.0,24,236,33,737888,449,"113,829,269",154.2636132,"1,649.70","1,561",2.1,"14,186",19.2,32749,30849,11,1.49e-05,269,0.000364554,182,0.00024665,87,0.000117904
304,San Joaquin County,CA,2020-07,388909,705,13.8,9204.0,186.0,0.01176162393217,0.000237686011667,0,0.0,84,168,40,789410,"1,399","26,787,016",33.93295753,503.9,"5,346",7.6,"25,092",35.8,29849,29388,10,1.27e-05,289,0.000366096,251,0.000317959,38,4.81e-05
305,Stanislaus County,CA,2020-07,345677,435,12.9,7574.0,102.0,0.0134696062443202,0.0001813968625456,0,0.0,48,112,36,552999,"1,495","20,632,799",37.31073474,349.8,"2,826",5.4,"18,559",35.5,28292,27638,12,2.17e-05,231,0.000417722,197,0.000356239,34,6.15e-05
306,Sonoma County,CA,2020-07,650414,900,10.0,2251.0,27.0,0.0045322025981138,5.436227016840225e-05,0,0.0,20,316,44,485887,"1,576","26,325,465",54.18022092,312.1,"1,821",3.7,"8,583",17.5,31332,30726,12,2.47e-05,231,0.000475419,181,0.000372515,50,0.000102905
307,Tulare County,CA,2020-07,241881,517,15.0,5708.0,60.0,0.0117830903982676,0.0001238586937449,0,0.0,32,112,57,477054,"4,824","16,847,054",35.31477359,93.5,"1,903",4.2,"11,398",25.3,27942,27295,7,1.47e-05,223,0.000467452,204,0.000427625,19,3.98e-05
308,Santa Barbara County,CA,2020-07,663561,897,9.6,3034.0,35.0,0.0066480707666755,7.6691653537786e-05,0,0.0,36,196,60,446475,"2,738","25,885,092",57.97657652,157.8,"1,294",3.0,"9,088",21.1,31421,30901,9,2.02e-05,173,0.00038748,129,0.00028893,44,9.85e-05
309,Monterey County,CA,2020-07,623704,513,10.4,3343.0,13.0,0.0074498809980121,2.8970521380244783e-05,0,0.0,24,108,68,437325,"3,322","25,122,789",57.44649631,129.5,"1,833",4.3,"10,577",24.9,35896,35092,4,9.15e-06,177,0.000404733,155,0.000354427,22,5.03e-05
310,Solano County,CA,2020-07,461191,415,12.1,2387.0,16.0,0.0053730402584101,3.601535154359546e-05,0,0.0,44,124,29,451716,828,"20,899,701",46.26734718,513.1,"2,109",5.0,"13,453",31.9,26180,25558,7,1.55e-05,136,0.000301074,107,0.000236874,29,6.42e-05
311,Placer County,CA,2020-07,531064,889,9.4,1322.0,6.0,0.0033014179615117,1.4983742639236428e-05,0,0.0,52,312,38,412300,"1,407","19,894,372",48.2521756,256.9,596,1.6,"6,643",18.4,27036,27085,4,9.7e-06,170,0.000412321,135,0.000327431,35,8.49e-05
312,San Luis Obispo County,CA,2020-07,645719,750,9.9,1256.0,13.0,0.0045040199094892,4.661804046445912e-05,0,0.0,16,216,67,283159,"3,304","15,449,070",54.55969967,83.1,"1,177",4.3,"5,683",20.7,32267,30230,6,2.12e-05,110,0.000388474,87,0.000307248,23,8.12e-05
313,Santa Cruz County,CA,2020-07,883541,375,10.6,853.0,1.0,0.0031131500479928,3.649648356380863e-06,0,0.0,12,108,49,267792,446,"12,786,326",47.74722919,600.2,"1,139",4.3,"8,121",30.4,29521,29605,5,1.87e-05,117,0.000436906,86,0.000321145,31,0.000115761
314,Merced County,CA,2020-07,290715,421,13.9,4123.0,46.0,0.0143448611787627,0.0001600445341312,0,0.0,48,96,53,286461,"1,929","9,012,107",31.46015339,135.2,"1,485",5.7,"7,126",27.2,28533,28121,3,1.05e-05,134,0.000467777,116,0.000404942,18,6.28e-05
315,Marin County,CA,2020-07,1228688,418,9.1,2353.0,52.0,0.0090222392638036,0.0001993865030674,0,0.0,4,104,39,260206,520,"22,815,861",87.68383896,493.4,454,1.8,"4,565",17.8,34416,32310,4,1.54e-05,127,0.000488075,79,0.000303606,48,0.000184469
316,Butte County,CA,2020-07,332480,333,11.1,874.0,8.0,0.0040134270718054,3.673617457030156e-05,0,0.0,12,116,53,208309,"1,640","8,434,322",40.48947477,135.4,678,3.1,"6,631",29.9,30734,28860,7,3.36e-05,113,0.000542463,97,0.000465654,16,7.68e-05
317,Yolo County,CA,2020-07,480871,241,9.1,1120.0,16.0,0.00500867574191,7.155251059871563e-05,1,4.472031912419726e-06,24,80,54,216986,"1,012","13,013,233",59.97268487,201.2,757,3.7,"5,507",27.0,25065,24354,2,9.22e-06,80,0.000368687,68,0.000313384,12,5.53e-05
318,El Dorado County,CA,2020-07,474872,717,9.9,506.0,1.0,0.0026204310764482,5.178717542387803e-06,0,0.0,24,236,44,193221,"1,712","7,238,157",37.46050895,106.3,409,2.3,"3,138",17.3,29023,28768,3,1.55e-05,91,0.000470963,69,0.000357104,22,0.000113859
319,Shasta County,CA,2020-07,287364,464,10.1,273.0,4.0,0.0015343543627933,2.248138260503021e-05,0,0.0,28,136,65,182139,"3,786","7,437,919",40.8364985,47.3,"1,275",7.1,"5,705",32.0,28792,27515,7,3.84e-05,120,0.000658837,97,0.00053256,23,0.000126277
320,Imperial County,CA,2020-07,229478,90,27.5,2161.0,114.0,0.0112758219453271,0.0005948374371898,0,0.0,4,16,43,179851,"4,175","8,155,429",45.34547487,42.4,583,3.3,"5,536",31.3,29846,29899,2,1.11e-05,88,0.000489294,77,0.000428132,11,6.12e-05
321,Kings County,CA,2020-07,247161,156,12.4,2040.0,25.0,0.0130398097721868,0.0001598015903454,0,0.0,8,40,41,153443,"1,390","5,924,008",38.60722223,109,696,4.6,"3,475",23.0,24498,24704,4,2.61e-05,78,0.000508332,72,0.00046923,6,3.91e-05
322,Madera County,CA,2020-07,298080,469,12.4,1870.0,31.0,0.0116810024423914,0.0001936422864781,0,0.0,8,120,58,159410,"2,138","6,012,170",37.71513707,71.3,888,5.8,"3,380",22.2,23808,23972,2,1.25e-05,96,0.000602221,85,0.000533216,11,6.9e-05
323,Napa County,CA,2020-07,706206,384,10.7,692.0,5.0,0.0049551742903789,3.580328244493456e-05,0,0.0,4,100,62,136207,754,"9,870,652",72.46802294,186.1,534,3.8,"2,385",17.1,36958,35231,3,2.2e-05,61,0.000447848,42,0.000308354,19,0.000139494
324,Humboldt County,CA,2020-07,334496,222,10.6,104.0,0.0,0.0007755522080866,0.0,0,0.0,4,64,53,136310,"3,573","4,986,467",36.58181351,37.8,485,3.6,"4,787",35.5,31924,32019,6,4.4e-05,104,0.000762967,92,0.000674932,12,8.8e-05
325,Nevada County,CA,2020-07,479348,592,10.0,185.0,0.0,0.0018741768817748,0.0,0,0.0,16,120,62,103487,958,"3,940,019",38.07259849,103,308,3.1,"1,591",16.1,26949,26407,2,1.93e-05,51,0.000492816,41,0.000396185,10,9.66e-05
326,Sutter County,CA,2020-07,328606,112,11.7,650.0,3.0,0.0061467464798055,2.8369599137564182e-05,0,0.0,4,40,60,99063,603,"3,095,179",31.24455145,157.8,316,3.3,"2,364",24.9,27675,27947,4,4.04e-05,53,0.000535013,47,0.000474446,6,6.06e-05
327,Mendocino County,CA,2020-07,414557,261,10.9,232.0,9.0,0.0026232770610251,0.0001017650584018,0,0.0,0,44,96,91305,"3,509","3,261,212",35.71778106,25,512,5.8,"1,546",17.6,40129,39101,3,3.29e-05,82,0.000898089,70,0.000766661,12,0.000131428
328,Yuba County,CA,2020-07,300997,154,12.2,410.0,3.0,0.0051708916635136,3.783579265985622e-05,0,0.0,12,36,57,83421,630,"2,948,046",35.33937498,115.6,296,4.1,"2,135",29.2,36427,34662,2,2.4e-05,47,0.000563407,42,0.00050347,5,5.99e-05
329,Lake County,CA,2020-07,252935,372,11.0,142.0,1.0,0.0021889596275685,1.5415208644849008e-05,0,0.0,4,80,79,68766,"1,258","1,768,943",25.7240933,51.1,307,4.8,"1,832",28.5,35392,33872,2,2.91e-05,55,0.000799814,46,0.000668935,9,0.000130879
330,Tehama County,CA,2020-07,248085,223,10.3,177.0,0.0,0.002686499203157,0.0,0,0.0,4,48,66,65498,"2,951","1,882,273",28.73786986,21.5,321,5.1,"1,589",25.1,31276,31226,1,1.53e-05,54,0.000824453,42,0.000641241,12,0.000183212
332,San Benito County,CA,2020-07,640326,87,11.3,421.0,1.0,0.0065758645465621,1.5619630751929024e-05,0,0.0,8,20,70,66677,"1,389","2,075,377",31.1258305,41,196,3.4,736,12.9,23295,22862,2,3e-05,36,0.000539916,29,0.000434933,7,0.000104984
333,Calaveras County,CA,2020-07,336499,392,9.1,91.0,1.0,0.0020546862652125,2.2578969947391e-05,0,0.0,16,68,77,46221,"1,020","1,292,735",27.96856407,44,113,2.5,989,22.0,33400,33016,1,2.16e-05,26,0.000562515,22,0.000475974,4,8.65e-05
334,Siskiyou County,CA,2020-07,217298,197,10.3,62.0,0.0,0.0014105014105014,0.0,0,0.0,4,24,79,44118,"6,287","1,546,848",35.06160751,7.1,137,3.1,724,16.4,37841,37241,2,4.53e-05,57,0.00129199,50,0.001133324,7,0.000158665
335,Amador County,CA,2020-07,325369,214,11.6,155.0,1.0,0.0040227349406971,2.595312864965872e-05,0,0.0,8,60,75,41259,606,"1,570,431",38.06274995,62.5,81,2.2,629,16.9,30909,30810,1,2.42e-05,19,0.000460506,16,0.000387794,3,7.27e-05
336,Lassen County,CA,2020-07,177432,114,8.0,391.0,0.0,0.0130051554964244,0.0,0,0.0,0,20,112,33159,"4,558","1,071,059",32.30070267,7.3,140,4.2,521,15.6,32798,31720,1,3.02e-05,31,0.000934889,29,0.000874574,2,6.03e-05
337,Del Norte County,CA,2020-07,274599,142,11.1,29.0,0.0,0.0010523260033384,0.0,0,0.0,0,16,101,28100,"1,008","688,089",24.48715302,27.9,165,5.9,649,23.1,40143,39264,1,3.56e-05,18,0.000640569,16,0.000569395,2,7.12e-05
338,Glenn County,CA,2020-07,256338,48,10.1,215.0,1.0,0.0073258825132888,3.407387215483168e-05,0,0.0,0,8,130,28805,"1,315","982,720",34.11629925,21.3,125,4.5,527,18.8,43299,43366,1,3.47e-05,35,0.001215067,32,0.001110918,3,0.000104149
339,Colusa County,CA,2020-07,255377,45,13.5,282.0,4.0,0.0124817421325189,0.0001770459876953,0,0.0,0,8,66,21917,"1,151","1,199,687",54.73773783,18.6,40,1.9,350,16.3,42181,40480,1,4.56e-05,24,0.00109504,20,0.000912534,4,0.000182507
340,Plumas County,CA,2020-07,279427,331,10.0,22.0,0.0,0.0011580775911986,0.0,0,0.0,4,76,67,19915,"2,554","1,006,000",50.51468742,7.6,91,4.7,312,16.2,49764,48982,3,0.00015064,19,0.000954055,16,0.000803415,3,0.00015064
341,Inyo County,CA,2020-07,369215,52,9.3,38.0,0.0,0.002059285752994,0.0,0,0.0,0,16,56,18970,"10,192","1,224,445",64.54638904,1.8,106,5.7,303,16.4,64893,62300,2,0.00010543,29,0.00152873,28,0.001476015,1,5.27e-05
342,Mariposa County,CA,2020-07,301033,103,11.3,27.0,0.0,0.0015172801348693,0.0,0,0.0,0,12,92,17147,"1,451","664,863",38.77430454,12.4,71,4.0,276,15.4,58085,57969,1,5.83e-05,17,0.000991427,16,0.000933108,1,5.83e-05
343,Mono County,CA,2020-07,473847,204,13.7,100.0,0.0,0.0071628106869135,0.0,0,0.0,0,40,55,13247,"3,044","1,027,563",77.56948743,4.7,36,2.5,184,13.0,67323,67973,1,7.55e-05,0,0.0,0,0.0,0,0.0
344,Trinity County,CA,2020-07,282286,145,8.0,8.0,0.0,0.0005990714392691,0.0,0,0.0,0,16,92,16060,"3,179","371,527",23.13368618,4.3,34,2.5,174,12.9,64746,64241,1,6.23e-05,25,0.001556663,24,0.001494396,1,6.23e-05
345,Modoc County,CA,2020-07,133465,59,7.8,5.0,0.0,0.0005277044854881,0.0,0,0.0,0,4,102,8661,"3,944","357,793",41.31081861,2.4,49,5.2,166,17.8,64291,62953,2,0.00023092,17,0.001962822,15,0.001731902,2,0.00023092
346,Sierra County,CA,2020-07,248251,41,8.6,2.0,0.0,0.0006420545746388,0.0,0,0.0,0,4,103,3283,953,"82,019",24.98294243,3.2,11,3.6,29,9.6,104352,100503,1,0.000304599,0,0.0,0,0.0,0,0.0
347,Alpine County,CA,2020-07,419179,51,14.5,1.0,0.0,0.000895255147717,0.0,0,0.0,0,4,181,1235,739,"99,643",80.68259109,1.6,4,3.3,24,20.0,252437,247344,0,0.0,0,0.0,0,0.0,0,0.0
348,Los Angeles County,CA,2020-08,672028,10085,16.6,41844.0,1131.0,0.0040793338998749,0.0001102601720858,13,1.2673582998368907e-06,540,2420,38,9829544,"4,060","662,418,536",67.39056624,"2,457.90","42,725",4.3,"217,493",21.8,33864,33230,131,1.33e-05,3232,0.000328805,2283,0.000232259,949,9.65e-05
349,San Diego County,CA,2020-08,634635,3863,10.8,7961.0,129.0,0.0023620215652776,3.8274184388998624e-05,18,5.340583868232367e-06,388,1156,32,3286069,"4,204","203,932,550",62.05972851,756.7,"10,585",3.3,"59,050",18.6,22016,21083,37,1.13e-05,1058,0.000321965,789,0.000240105,269,8.19e-05
350,Orange County,CA,2020-08,772572,4368,10.7,6930.0,370.0,0.002146495033791,0.0001146036309527,6,1.858437258693537e-06,292,1408,40,3167809,948,"220,075,102",69.4723394,"3,903.60","6,257",2.0,"54,754",17.7,20776,20309,41,1.29e-05,959,0.000302733,642,0.000202664,317,0.000100069
351,Riverside County,CA,2020-08,416115,4000,11.6,8709.0,286.0,0.0035285609232844,0.0001158764983418,3,1.2154877448448127e-06,404,876,43,2458395,"7,208","75,327,830",30.64106053,314.6,"6,260",2.8,"61,434",27.1,27929,28072,24,9.76e-06,697,0.000283518,538,0.000218842,159,6.47e-05
352,San Bernardino County,CA,2020-08,375819,2942,11.3,9369.0,291.0,0.0042252225356025,0.0001312348978397,1,4.509790303770455e-07,428,636,45,2194710,"20,062","78,146,465",35.60673848,103.6,"8,281",4.0,"54,778",26.4,29477,27905,32,1.46e-05,740,0.000337174,587,0.000267461,153,6.97e-05
353,Santa Clara County,CA,2020-08,1274282,1663,8.1,5900.0,60.0,0.0029985998063616,3.0494235318931597e-05,4,2.0329490212621058e-06,56,608,31,1885508,"1,291","282,946,368",150.0637324,"1,427.30","4,676",2.5,"43,084",23.4,39774,38937,17,9.02e-06,631,0.000334658,426,0.000225934,205,0.000108724
354,Alameda County,CA,2020-08,917758,1458,10.6,5351.0,99.0,0.0031739987164019,5.872283179289701e-05,2,1.18631983419994e-06,52,360,28,1648556,738,119117078,72.25540291,2109.8,10356,6.6,57620,37.0,27341,26306,27,1.64e-05,562,0.000340904,401,0.000243243,161,9.77e-05
355,Sacramento County,CA,2020-08,406837,1358,10.9,5929.0,184.0,0.0037813102887482,0.0001173488097705,7,4.464356893445369e-06,192,484,35,1588921,966,"77,961,074",49.06541861,"1,503.00","7,452",5.1,"40,246",27.8,33750,33214,19,1.2e-05,511,0.000321602,398,0.000250484,113,7.11e-05
356,Contra Costa County,CA,2020-08,715994,1263,10.5,4371.0,64.0,0.0037677818875802,5.516770551478797e-05,9,8.33262218712943e-06,52,344,29,1161413,720,"71,878,033",61.88843504,"1,496.00","3,650",3.4,"32,232",29.8,38948,37226,12,1.03e-05,394,0.000339242,289,0.000248835,105,9.04e-05
357,Fresno County,CA,2020-08,284047,799,11.5,6184.0,169.0,0.0059909302895584,0.0001637236770594,0,0.0,56,240,31,1013581,"5,963","39,921,581",39.38667063,159.2,"4,547",4.8,"32,535",34.3,26135,25200,15,1.48e-05,421,0.000415359,367,0.000362083,54,5.33e-05
358,Kern County,CA,2020-08,245383,1266,13.0,5059.0,151.0,0.0054559121532357,0.0001628469529825,0,0.0,92,324,35,917673,"8,142","46,781,960",50.97889989,105.5,"4,465",5.2,"28,283",33.0,34507,33308,15,1.63e-05,329,0.000358516,276,0.000300761,53,5.78e-05
359,Ventura County,CA,2020-08,634426,1013,9.8,2668.0,41.0,0.0031287122675306,4.807991115770562e-05,2,2.345361519888079e-06,44,308,40,839784,"1,846","46,470,387",55.33611857,453.5,"1,890",2.3,"16,812",20.1,30789,30258,13,1.55e-05,310,0.000369143,226,0.000269117,84,0.000100026
360,San Francisco County,CA,2020-08,1428662,1482,9.7,2477.0,24.0,0.0027760344286546,2.6897386470614605e-05,0,0.0,24,428,35,815201,47,"155,258,114",190.4537826,"17,680.10","6,822",8.2,"45,936",55.4,32198,34059,18,2.21e-05,242,0.000296859,134,0.000164377,108,0.000132483
361,San Mateo County,CA,2020-08,1429048,885,8.3,2223.0,16.0,0.0028573228054976,2.0565526265390404e-05,1,1.2853453915869003e-06,28,296,31,737888,449,"113,829,269",154.2636132,"1,649.70","1,561",2.1,"14,186",19.2,32749,30849,11,1.49e-05,269,0.000364554,182,0.00024665,87,0.000117904
362,San Joaquin County,CA,2020-08,391939,620,12.2,3976.0,179.0,0.0050808579698292,0.0002287408391849,2,2.5557635663124805e-06,80,180,39,789410,"1,399","26,787,016",33.93295753,503.9,"5,346",7.6,"25,092",35.8,29849,29388,10,1.27e-05,289,0.000366096,251,0.000317959,38,4.81e-05
363,Stanislaus County,CA,2020-08,347982,375,11.2,3587.0,134.0,0.0063791229995216,0.0002383056821677,0,0.0,44,84,37,552999,"1,495","20,632,799",37.31073474,349.8,"2,826",5.4,"18,559",35.5,28292,27638,12,2.17e-05,231,0.000417722,197,0.000356239,34,6.15e-05
364,Sonoma County,CA,2020-08,654638,790,8.7,2374.0,49.0,0.0047798529399921,9.86574532685818e-05,0,0.0,24,252,42,485887,"1,576","26,325,465",54.18022092,312.1,"1,821",3.7,"8,583",17.5,31332,30726,12,2.47e-05,231,0.000475419,181,0.000372515,50,0.000102905
365,Tulare County,CA,2020-08,245052,483,13.1,3491.0,59.0,0.0072065116643924,0.0001217943821825,0,0.0,48,120,56,477054,"4,824","16,847,054",35.31477359,93.5,"1,903",4.2,"11,398",25.3,27942,27295,7,1.47e-05,223,0.000467452,204,0.000427625,19,3.98e-05
366,Santa Barbara County,CA,2020-08,667725,849,8.3,1529.0,35.0,0.0033503296645507,7.669165353778598e-05,0,0.0,32,140,53,446475,"2,738","25,885,092",57.97657652,157.8,"1,294",3.0,"9,088",21.1,31421,30901,9,2.02e-05,173,0.00038748,129,0.00028893,44,9.85e-05
367,Monterey County,CA,2020-08,627702,455,8.8,2767.0,31.0,0.0061662640507028,6.908355098366062e-05,0,0.0,8,76,60,437325,"3,322","25,122,789",57.44649631,129.5,"1,833",4.3,"10,577",24.9,35896,35092,4,9.15e-06,177,0.000404733,155,0.000354427,22,5.03e-05
368,Solano County,CA,2020-08,461224,382,11.0,1309.0,18.0,0.0029465059481604,4.05172704865449e-05,0,0.0,68,132,27,451716,828,"20,899,701",46.26734718,513.1,"2,109",5.0,"13,453",31.9,26180,25558,7,1.55e-05,136,0.000301074,107,0.000236874,29,6.42e-05
369,Placer County,CA,2020-08,535153,831,8.2,852.0,17.0,0.0021276914547715,4.245393747783655e-05,0,0.0,80,300,35,412300,"1,407","19,894,372",48.2521756,256.9,596,1.6,"6,643",18.4,27036,27085,4,9.7e-06,170,0.000412321,135,0.000327431,35,8.49e-05
370,San Luis Obispo County,CA,2020-08,651666,687,8.6,1042.0,10.0,0.003736615243382,3.586003112650702e-05,0,0.0,16,200,58,283159,"3,304","15,449,070",54.55969967,83.1,"1,177",4.3,"5,683",20.7,32267,30230,6,2.12e-05,110,0.000388474,87,0.000307248,23,8.12e-05
371,Santa Cruz County,CA,2020-08,898680,331,9.2,601.0,3.0,0.0021934386621848,1.0948945069142587e-05,0,0.0,8,76,49,267792,446,"12,786,326",47.74722919,600.2,"1,139",4.3,"8,121",30.4,29521,29605,5,1.87e-05,117,0.000436906,86,0.000321145,31,0.000115761
372,Merced County,CA,2020-08,295122,307,11.9,2255.0,65.0,0.0078456614014334,0.0002261498851854,0,0.0,24,104,51,286461,"1,929","9,012,107",31.46015339,135.2,"1,485",5.7,"7,126",27.2,28533,28121,3,1.05e-05,134,0.000467777,116,0.000404942,18,6.28e-05
373,Marin County,CA,2020-08,1246341,392,7.8,855.0,26.0,0.0032783742331288,9.969325153374232e-05,1,3.834355828220858e-06,4,108,38,260206,520,"22,815,861",87.68383896,493.4,454,1.8,"4,565",17.8,34416,32310,4,1.54e-05,127,0.000488075,79,0.000303606,48,0.000184469
374,Butte County,CA,2020-08,335993,330,9.8,1250.0,22.0,0.0057400272766096,0.0001010244800683,0,0.0,4,112,46,208309,"1,640","8,434,322",40.48947477,135.4,678,3.1,"6,631",29.9,30734,28860,7,3.36e-05,113,0.000542463,97,0.000465654,16,7.68e-05
375,Yolo County,CA,2020-08,483581,220,7.9,688.0,13.0,0.0030767579557447,5.813641486145645e-05,3,1.3416095737259181e-05,20,68,38,216986,"1,012","13,013,233",59.97268487,201.2,757,3.7,"5,507",27.0,25065,24354,2,9.22e-06,80,0.000368687,68,0.000313384,12,5.53e-05
376,El Dorado County,CA,2020-08,484153,549,8.5,224.0,1.0,0.0011600327294948,5.178717542387803e-06,1,5.178717542387804e-06,28,192,46,193221,"1,712","7,238,157",37.46050895,106.3,409,2.3,"3,138",17.3,29023,28768,3,1.55e-05,91,0.000470963,69,0.000357104,22,0.000113859
377,Shasta County,CA,2020-08,289916,408,8.7,144.0,3.0,0.000809329773781,1.6861036953772656e-05,0,0.0,24,108,60,182139,"3,786","7,437,919",40.8364985,47.3,"1,275",7.1,"5,705",32.0,28792,27515,7,3.84e-05,120,0.000658837,97,0.00053256,23,0.000126277
378,Imperial County,CA,2020-08,234830,86,24.8,957.0,34.0,0.0049935037490412,0.0001774076567057,0,0.0,4,12,44,179851,"4,175","8,155,429",45.34547487,42.4,583,3.3,"5,536",31.3,29846,29899,2,1.11e-05,88,0.000489294,77,0.000428132,11,6.12e-05
379,Kings County,CA,2020-08,250878,109,11.0,1624.0,16.0,0.0103807113088389,0.000102273017821,0,0.0,8,36,42,153443,"1,390","5,924,008",38.60722223,109,696,4.6,"3,475",23.0,24498,24704,4,2.61e-05,78,0.000508332,72,0.00046923,6,3.91e-05
380,Madera County,CA,2020-08,301330,403,10.5,1113.0,44.0,0.0069523827371024,0.0002748471162915,0,0.0,16,100,51,159410,"2,138","6,012,170",37.71513707,71.3,888,5.8,"3,380",22.2,23808,23972,2,1.25e-05,96,0.000602221,85,0.000533216,11,6.9e-05
381,Napa County,CA,2020-08,710469,327,9.3,333.0,3.0,0.0023844986108326,2.1481969466960733e-05,0,0.0,4,72,66,136207,754,"9,870,652",72.46802294,186.1,534,3.8,"2,385",17.1,36958,35231,3,2.2e-05,61,0.000447848,42,0.000308354,19,0.000139494
382,Humboldt County,CA,2020-08,337734,215,9.4,161.0,0.0,0.0012006144759802,0.0,0,0.0,0,52,43,136310,"3,573","4,986,467",36.58181351,37.8,485,3.6,"4,787",35.5,31924,32019,6,4.4e-05,104,0.000762967,92,0.000674932,12,8.8e-05
383,Nevada County,CA,2020-08,490804,507,8.6,121.0,3.0,0.0012258129875392,3.039205754229561e-05,0,0.0,20,108,62,103487,958,"3,940,019",38.07259849,103,308,3.1,"1,591",16.1,26949,26407,2,1.93e-05,51,0.000492816,41,0.000396185,10,9.66e-05
384,Sutter County,CA,2020-08,328915,112,10.1,548.0,4.0,0.0051821801091283,3.7826132183418914e-05,0,0.0,4,40,37,99063,603,"3,095,179",31.24455145,157.8,316,3.3,"2,364",24.9,27675,27947,4,4.04e-05,53,0.000535013,47,0.000474446,6,6.06e-05
385,Mendocino County,CA,2020-08,423427,221,9.5,341.0,7.0,0.0038557649905584,7.915060097920602e-05,0,0.0,8,48,74,91305,"3,509","3,261,212",35.71778106,25,512,5.8,"1,546",17.6,40129,39101,3,3.29e-05,82,0.000898089,70,0.000766661,12,0.000131428
386,Yuba County,CA,2020-08,302866,134,10.8,402.0,1.0,0.0050699962164207,1.261193088661874e-05,0,0.0,8,48,61,83421,630,"2,948,046",35.33937498,115.6,296,4.1,"2,135",29.2,36427,34662,2,2.4e-05,47,0.000563407,42,0.00050347,5,5.99e-05
387,Lake County,CA,2020-08,254328,288,9.5,129.0,2.0,0.0019885619151855,3.0830417289698016e-05,0,0.0,4,44,63,68766,"1,258","1,768,943",25.7240933,51.1,307,4.8,"1,832",28.5,35392,33872,2,2.91e-05,55,0.000799814,46,0.000668935,9,0.000130879
388,Tehama County,CA,2020-08,248555,214,8.9,165.0,1.0,0.0025043636639599,1.5177961599757151e-05,0,0.0,0,40,62,65498,"2,951","1,882,273",28.73786986,21.5,321,5.1,"1,589",25.1,31276,31226,1,1.53e-05,54,0.000824453,42,0.000641241,12,0.000183212
390,San Benito County,CA,2020-08,649358,76,9.6,444.0,3.0,0.0069351160538564,4.685889225578707e-05,0,0.0,12,24,53,66677,"1,389","2,075,377",31.1258305,41,196,3.4,736,12.9,23295,22862,2,3e-05,36,0.000539916,29,0.000434933,7,0.000104984
